Fashion Week,Day,North America,"South America, Central America, and Caribbean",UK,Europe (not UK),Africa ,Middle East,Asia (not Middle East),Oceania,North America Daily Gain,"South America, Central America, and Caribbean Daily Gain",UK Daily Gain,Europe (not UK) Daily Gain,Africa  Daily Gain,Middle East Daily Gain,Asia (not Middle East) Daily Gain,Oceania Daily Gain,
1,18,0.2966926,0.0646155,1.3736168,0.532539,0.0484616,0.0813078,0.3925389,0.0613847,2.4574176,2.2069577,3.1086612,2.5809648,3.6148445,2.9810554,2.7509513,3.3335219,
1,19,0.3076194,0.0543174,1.1395901,0.4705716,0.0360323,0.0774426,0.4329259,0.0661489,2.5479211,1.8552255,2.5790305,2.2806383,2.6877229,2.839345,3.0339878,3.5922466,
2,1,0.1426776,0.03289,0.5086365,0.2251342,0.0245517,0.021309,0.1774205,0.0333532,1.1368451,1.0788907,1.3317874,1.0023232,1.137861,0.7954134,1.1495547,0.9591421,
2,2,0.1545376,0.0337762,0.4108665,0.2253288,0.0240598,0.0342389,0.1563884,0.029612,1.2313449,1.1079614,1.0757917,1.0031899,1.1150629,1.2780547,1.0132818,0.8515558,
2,3,0.155337,0.029588,0.4641619,0.2408649,0.0226533,0.0337488,0.1539501,0.0406835,1.2377144,0.9705763,1.2153374,1.0723581,1.0498808,1.259762,0.9974834,1.1699404,
2,4,0.1761781,0.0403355,0.5813879,0.2591673,0.0227177,0.0389446,0.2192954,0.0324539,1.4037749,1.3231274,1.522276,1.1538428,1.0528651,1.4537095,1.4208731,0.9332797,
2,5,0.1635058,0.0346411,0.6771172,0.4212353,0.0332554,0.0411074,0.1838285,0.0346411,1.3028025,1.1363317,1.7729287,1.8753879,1.5412411,1.5344396,1.1910738,0.9961769,
2,6,0.3184942,0.0472874,0.8075938,0.3657816,0.0315249,0.0380153,0.2313372,0.0375517,2.5377393,1.5511685,2.1145619,1.6285017,1.4610394,1.4190203,1.4988946,1.0798792,
2,7,0.4171313,0.0513891,1.0398189,0.4041683,0.0421298,0.0578706,0.262964,0.0425928,3.3236721,1.6857179,2.722608,1.7994036,1.9525292,2.1601697,1.7038133,1.2248449,
2,8,0.8518848,0.1508255,3.1431289,1.5468924,0.1340671,0.1768941,0.5046137,0.1289465,6.7877569,4.9475334,8.2298063,6.886943,6.2134161,6.6030299,3.2695257,3.7081292,
2,9,1.6235715,0.2320714,4.4901175,2.1689393,0.2302148,0.3225792,1.0925922,0.3174737,12.9365018,7.6126452,11.7566915,9.6563676,10.6694366,12.0411047,7.0791938,9.1296273,
2,10,3.5687091,0.353956,6.7654174,3.1536784,0.3844934,0.5575385,1.9631833,0.4261352,28.4352189,11.6108287,17.7142192,14.0405393,17.8195622,20.8115665,12.7199841,12.2544203,
2,11,2.1057585,0.4250239,7.9016652,3.2831025,0.2507733,0.3932163,1.5894605,0.4181092,16.7785333,13.9420732,20.6893118,14.6167504,11.6222325,14.677815,10.298535,12.0236156,
2,12,2.1985574,0.3523626,5.8626653,2.6111927,0.2165176,0.3361354,1.3899779,0.3903807,17.5179485,11.5585625,15.3504998,11.6253304,10.0346294,12.5471238,9.0060347,11.2262235,
2,13,1.9734968,0.3070813,5.5553378,2.6211085,0.2206711,0.2963962,1.4113661,0.2838528,15.7246814,10.0731974,14.5458092,11.669477,10.2271286,11.0637539,9.1446146,8.1627868,
2,14,1.3810149,0.2440087,3.8405853,2.0146952,0.1637549,0.242617,1.1008224,0.2574616,11.003828,8.0042241,10.0559899,8.9696552,7.5893123,9.0563068,7.1325198,7.4038539,
2,15,0.6833223,0.1506719,2.1587088,1.1017017,0.0953794,0.1350057,0.6565977,0.1336234,5.4446635,4.9424943,5.6522515,4.904903,4.4204145,5.0394366,4.25427,3.8426231,
2,16,0.5606788,0.1052722,1.5164761,0.7684407,0.0913596,0.1252136,0.5532587,0.1015622,4.4674485,3.4532471,3.9706627,3.4211863,4.234111,4.6739224,3.5847097,2.9206349,
2,17,0.5311365,0.0942489,1.3394483,0.7019916,0.0636064,0.1151415,0.4350305,0.0914632,4.2320578,3.0916487,3.5071422,3.1253475,2.9478738,4.2979536,2.8186779,2.6302177,
2,18,0.5052807,0.1005004,1.7617669,0.7275856,0.0518712,0.0995741,0.4723981,0.1092999,4.0260402,3.2967167,4.6129193,3.239295,2.4039982,3.7168608,3.060792,3.1431511,
2,19,0.4077175,0.0912731,1.3153523,0.5976768,0.0583777,0.1005394,0.4193004,0.0829334,3.248664,2.9940351,3.4440504,2.660926,2.7055491,3.7528943,2.7167582,2.3849268,
3,1,0.2502837,0.0256937,0.3523701,0.2128903,0.0204173,0.0332641,0.1234213,0.0224819,1.2210507,0.958411,0.9878826,0.9934009,1.1038385,0.948027,1.0281055,0.9530717,
3,2,0.2906994,0.0252184,0.2737343,0.2278827,0.0185699,0.0330132,0.1224239,0.0270525,1.4182256,0.9406836,0.7674243,1.0633593,1.0039629,0.9408758,1.0197971,1.1468288,
3,3,0.2445791,0.0226717,0.3554183,0.2612966,0.0180915,0.033435,0.102595,0.0226717,1.1932199,0.8456862,0.9964284,1.2192773,0.9780992,0.9528967,0.8546213,0.9611141,
3,4,0.2241066,0.0286728,0.4170171,0.2786996,0.0183506,0.038995,0.1220314,0.0284434,1.0933412,1.0695374,1.1691229,1.3004841,0.9921052,1.1113576,1.0165277,1.2057947,
3,5,0.2050503,0.0231656,0.3823478,0.2188121,0.0155967,0.0357806,0.1089473,0.0224776,1.0003722,0.8641125,1.071926,1.0210337,0.8432174,1.0197469,0.9075366,0.9528854,
3,6,0.1813027,0.0252128,0.4105095,0.2078907,0.0178781,0.0341518,0.1152911,0.0213162,0.8845152,0.940473,1.1508787,0.9700714,0.9665626,0.9733271,0.9603803,0.9036542,
3,7,0.4262955,0.0660747,1.2727347,0.5892037,0.0528597,0.0788339,0.2032365,0.0578723,2.0797535,2.464682,3.5681586,2.7493764,2.8578054,2.2467663,1.6929704,2.453366,
3,8,0.3977226,0.0644894,1.1548413,0.4651954,0.0406214,0.0640304,0.1861241,0.0702268,1.9403558,2.4055477,3.2376403,2.1707218,2.1961534,1.8248651,1.5504227,2.9771093,
3,9,0.6325047,0.0935185,2.01886,0.897778,0.0561111,0.1078885,0.3015403,0.0789205,3.0857792,3.488379,5.6599484,4.1892635,3.0335886,3.0748211,2.5118452,3.3456586,
3,10,1.2615632,0.1688526,2.8606015,1.446979,0.212791,0.2762833,0.9604352,0.1631014,6.1547463,6.2984487,8.019802,6.7519771,11.504322,7.8740732,8.0004724,6.9143201,
3,11,0.4699179,0.1106898,2.3733253,0.9535295,0.0620776,0.1150261,0.3873,0.0892365,2.2925729,4.1288906,6.6537049,4.4494144,3.3561573,3.2782425,3.2262283,3.7829806,
3,12,0.9895666,0.2095174,3.4869676,1.5815108,0.103147,0.160016,0.4128183,0.1639301,4.8277656,7.8153059,9.7758423,7.379737,5.5765341,4.5604563,3.4387966,6.9494478,
3,13,1.0423774,0.1756713,3.1266752,1.54906,0.1069105,0.1674474,0.5982876,0.3470022,5.0854115,6.5527983,8.7657494,7.2283136,5.7800032,4.7722517,4.9837652,14.710382,
3,14,0.6638105,0.1230801,1.8651544,0.9490183,0.0860876,0.1258203,0.4902652,0.1758287,3.2385098,4.5910685,5.2290291,4.4283642,4.654233,3.5858781,4.0839336,7.4538638,
3,15,0.3571046,0.0628705,1.1021775,0.5237686,0.0969349,0.0717867,0.2624559,0.0690433,1.7421942,2.3451631,3.0899952,2.4440395,5.240684,2.0459212,2.1862703,2.9269346,
3,16,0.2569524,0.0421759,0.6793995,0.4013591,0.0398838,0.0547829,0.1684746,0.050657,1.2535849,1.5732248,1.9047215,1.8728452,2.1562742,1.5613123,1.4034014,2.147489,
3,17,0.2975217,0.0419464,0.6729766,0.4343633,0.0293396,0.0607421,0.1483024,0.0543241,1.451509,1.5646635,1.8867147,2.0268512,1.5862134,1.7311498,1.2353663,2.3029469,
3,18,0.3113282,0.0511615,0.8392324,0.4051625,0.0367078,0.0543735,0.2119876,0.0461142,1.5188662,1.9083998,2.3528191,1.8905927,1.9845692,1.5496434,1.7658674,1.9549078,
3,19,0.2675903,0.0424564,0.6949087,0.3708628,0.0293753,0.0520952,0.1978241,0.0502592,1.305484,1.5836878,1.9482022,1.7305413,1.5881429,1.4847133,1.6478843,2.1306282,
,,713.74182,102.56572,1801.12764,701.71412,81.33776,111.5077,414.27018,85.22704,,,,,,,,,1801.12764
,,19.8028,3.01346,54.74686,34.97778,1.07436,4.00112,20.519,2.59532,,,,,,,,,1.07436
,,,,64.3591,,,,,,,,,,,,,,
,,,,92.9142,,,,,,,,,,,,,,
